id|species|mother_lower_case|father_lower_case|mother_orig_case|father_orig_case
630|S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)|N/A|N/A|N/A|N/A
631|S.|s. schwerinii e.l.wolf|unknown|S. schwerinii E.L.Wolf|unknown
632|S. amplexicaulis Bory & Chaub.|N/A|N/A|N/A|N/A
633|S.|N/A|N/A|N/A|N/A
634|S. triandra L.|N/A|N/A|N/A|N/A
635|S. triandra L.|N/A|N/A|N/A|N/A
636|S.|s. sw 960039|s. olof|S. ‘SW 960039’|S. ‘Olof’
637|S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|N/A|N/A|N/A|N/A
638|S.|N/A|N/A|N/A|N/A
639|S. retusa L.|N/A|N/A|N/A|N/A
640|S.|s. americana|s. eleagnos scop. angustifolia|S. ‘Americana’|S. eleagnos Scop. ‘Angustifolia’
641|S. myrsinites L.|N/A|N/A|N/A|N/A
642|S. cinerea L.|N/A|N/A|N/A|N/A
643|S. ligulifolia (C.R.Ball) C.R.Ball ex C.K.Schneid.|N/A|N/A|N/A|N/A
644|S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)|N/A|N/A|N/A|N/A
645|S. sitchensis Sanson ex Bong.|N/A|N/A|N/A|N/A
646|S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)|N/A|N/A|N/A|N/A
647|S. purpurea L.|N/A|N/A|N/A|N/A
648|S. silicicola Raup|N/A|N/A|N/A|N/A
649|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
650|S. triandra L.|N/A|N/A|N/A|N/A
651|S. daphnoides Vill.|N/A|N/A|N/A|N/A
652|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
653|S. commutata Bebb|N/A|N/A|N/A|N/A
654|S. daphnoides Vill.|N/A|N/A|N/A|N/A
655|S.|s. alba l. × s. babylonica l.|s. euxina i.v.belyaeva ×s. pentandra l.|S. alba L. × S. babylonica L.|S. euxina I.V.Belyaeva ×S. pentandra L.
656|S.|N/A|N/A|N/A|N/A
657|N/A|s. viminalis l. sv2|s. miyabeana seemen sx61 × s. miyabeana 9970-037|S. viminalis L. ‘SV2’|S. miyabeana Seemen ‘SX61’ × S. miyabeana ‘9970-037’
658|S. purpurea L.|N/A|N/A|N/A|N/A
659|N/A|N/A|N/A|N/A|N/A
660|S. eriocephala Michx.|N/A|N/A|N/A|N/A
661|S. arbuscula L.|N/A|N/A|N/A|N/A
662|S. purpurea L.|N/A|N/A|N/A|N/A
663|S. daphnoides Vill.|N/A|N/A|N/A|N/A
664|S. eriocephala Michx.|N/A|N/A|N/A|N/A
665|S. miyabeana Seemen|N/A|N/A|N/A|N/A
666|S. cordata Michx.|N/A|N/A|N/A|N/A
667|S. repens L.|N/A|N/A|N/A|N/A
668|S. humboldtiana Willd.|N/A|N/A|N/A|N/A
669|S. purpurea L.|N/A|N/A|N/A|N/A
670|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
671|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
672|S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|N/A|N/A|N/A|N/A
673|S.|N/A|N/A|N/A|N/A
674|S.|N/A|N/A|N/A|N/A
