id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,Canker
181,9,9,9,13,9,3,7.2,2013,U07m,80XAA04,44,20%,0.048,0.032,0.284,NA,2,0
182,9,9,9,14,9,3,6.8,2013,U07m,80XAA04,44,20%,0.043,0.028,0.252,NA,1,0
183,9,9,9,15,9,3,6.6,2013,U07m,80XAA04,44,9%,0.019,0.026,0.238,NA,3,0
184,9,9,9,16,9,3,3.9,2013,U07m,80XAA04,44,5%,0.004,0.009,0.083,NA,1,0
185,9,9,9,17,9,6,8.4,2013,U07m,83XAA04,45,24%,0.073,0.043,0.385,NA,2,0
186,9,9,9,18,9,6,5.1,2013,U07m,83XAA04,45,0%,0,0.016,0.143,NA,4,0
187,9,9,9,19,9,6,7.8,2013,U07m,83XAA04,45,19%,0.053,0.037,0.333,NA,2,0
188,9,9,9,20,9,6,10.6,2013,U07m,83XAA04,45,15%,0.079,0.067,0.607,NA,5,0
189,9,9,9,21,9,NA,2.2,2013,U07m,85XAA04,NA,10%,0.002,0.003,0.026,NA,1,0
190,9,9,9,1,10,2,9.3,2013,U07m,84XAA04,50,25%,0.094,0.053,0.473,NA,2,0
191,9,9,9,2,10,2,0,2013,U07m,84XAA04,50,NA,NA,0,0,NA,0,0
192,9,9,9,3,10,2,5.4,2013,U07m,84XAA04,50,8%,0.012,0.018,0.159,NA,1,0
193,9,9,9,4,10,2,9,2013,U07m,84XAA04,50,23%,0.082,0.049,0.438,NA,3,0
194,9,9,9,5,10,2,4.8,2013,U07m,17XGA04,49,3%,0.004,0.014,0.124,NA,3,0
195,9,9,9,6,10,2,3.7,2013,U07m,17XGA04,49,0%,0,0.008,0.075,NA,1,0
196,9,9,9,7,10,2,4.6,2013,U07m,17XGA04,49,4%,0.005,0.013,0.115,NA,2,0
197,9,9,9,8,10,2,3,2013,U07m,17XGA04,49,0%,0,0.006,0.05,NA,2,0
198,9,9,9,9,10,3,3.6,2013,U07m,2XT4E04,48,0%,0,0.008,0.071,NA,2,0
199,9,9,9,10,10,3,0,2013,U07m,2XT4E04,48,NA,NA,0,0,NA,0,0
200,9,9,9,11,10,3,4,2013,U07m,2XT4E04,48,4%,0.003,0.01,0.089,NA,2,0
201,9,9,9,12,10,3,0,2013,U07m,2XT4E04,48,NA,NA,0,0,NA,0,0
202,9,9,9,13,10,3,2,2013,U07m,85XAA04,47,0%,0,0.002,0.022,NA,1,0
203,9,9,9,14,10,3,0,2013,U07m,85XAA04,47,NA,NA,0,0,NA,0,0
204,9,9,9,15,10,3,0,2013,U07m,85XAA04,47,NA,NA,0,0,NA,0,0
205,9,9,9,16,10,3,0,2013,U07m,85XAA04,47,NA,NA,0,0,NA,0,0
206,9,9,9,17,10,6,7.9,2013,U07m,80XAA04,46,31%,0.081,0.038,0.34,NA,1,0
207,9,9,9,18,10,6,0,2013,U07m,80XAA04,46,NA,NA,0,0,NA,0,0
208,9,9,9,19,10,6,5.8,2013,U07m,80XAA04,46,0%,0,0.02,0.183,NA,1,0
209,9,9,9,20,10,6,3.8,2013,U07m,80XAA04,46,13%,0.009,0.009,0.081,NA,2,0
210,9,9,9,21,10,NA,0,2013,U07m,85XAA04,NA,NA,NA,0,0,NA,NA,0
211,9,9,9,1,11,1,5.4,2013,U07m,NM6,51,0%,0,0.018,0.162,NA,2,2
212,9,9,9,2,11,1,7.8,2013,U07m,NM6,51,14%,0.041,0.037,0.332,NA,1,2
213,9,9,9,3,11,1,7.4,2013,U07m,NM6,51,0%,0,0.033,0.299,NA,1,2
214,9,9,9,4,11,1,5.3,2013,U07m,NM6,51,17%,0.022,0.017,0.153,NA,1,2
215,9,9,9,5,11,2,6.5,2013,U07m,NM6,52,21%,0.041,0.026,0.23,NA,1,2
216,9,9,9,6,11,2,6.1,2013,U07m,NM6,52,23%,0.038,0.023,0.203,NA,1,2
217,9,9,9,7,11,2,6.7,2013,U07m,NM6,52,29%,0.055,0.027,0.245,NA,1,2
218,9,9,9,8,11,2,9.2,2013,U07m,NM6,52,7%,0.029,0.051,0.462,NA,2,2
219,9,9,9,9,11,3,0,2013,U07m,NM6,53,NA,NA,0,0,NA,0,0
220,9,9,9,10,11,3,7.6,2013,U07m,NM6,53,22%,0.057,0.035,0.319,NA,2,2
221,9,9,9,11,11,3,7.7,2013,U07m,NM6,53,32%,0.079,0.036,0.323,NA,1,2
222,9,9,9,12,11,3,8.3,2013,U07m,NM6,53,13%,0.044,0.042,0.376,NA,1,0
223,9,9,9,13,11,4,4.4,2013,U07m,NM6,54,0%,0,0.012,0.106,NA,1,2
224,9,9,9,14,11,4,3.6,2013,U07m,NM6,54,12%,0.008,0.008,0.071,NA,1,0
225,9,9,9,15,11,4,5.5,2013,U07m,NM6,54,4%,0.006,0.018,0.165,NA,1,2
226,9,9,9,16,11,4,6.2,2013,U07m,NM6,54,14%,0.026,0.023,0.21,NA,1,2
227,9,9,9,17,11,5,7.3,2013,U07m,NM6,55,12%,0.031,0.032,0.291,NA,1,2
228,9,9,9,18,11,5,6.4,2013,U07m,NM6,55,0%,0,0.025,0.223,NA,1,2
229,9,9,9,19,11,5,6.2,2013,U07m,NM6,55,14%,0.026,0.023,0.21,NA,1,2
